name,hour,iaqi_value
DC2023-24,14,64.42222222222222
DC2023-24,15,70.15185185185186
DC2023-24,16,68.12685185185185
DC2023-24,17,70.43240740740741
DC2023-24,18,71.44999999999999
DC2023-24,19,73.4388888888889
DC2023-24,20,76.8138888888889
DC2023-24,21,76.26851851851852
DC2023-24,22,68.91388888888889
DC2023-24,23,62.6037037037037
DC2023-25,0,39.29736842105263
DC2023-25,1,37.68703703703704
DC2023-25,2,41.766666666666666
DC2023-25,3,39.116870684243565
DC2023-25,4,50.75925925925926
DC2023-25,5,59.33802573760201
DC2023-25,6,67.39629629629628
DC2023-25,7,73.46944444444445
DC2023-25,8,79.47222222222223
DC2023-25,9,86.33425925925926
DC2023-25,10,83.51203703703703
DC2023-25,11,81.80925925925925
DC2023-25,12,78.65185185185186
DC2023-25,13,71.91851851851851
DC2023-25,14,76.34074074074074
DC2023-25,15,75.54444444444444
DC2023-25,16,56.46296296296296
DC2023-25,17,59.54814814814816
DC2023-25,18,63.5212962962963
DC2023-25,19,61.26759259259259
DC2023-25,20,61.03888888888889
DC2023-25,21,62.01851851851851
DC2023-25,22,67.68129315756434
DC2023-25,23,51.903703703703705
DC2023-32,0,64.95350877192983
DC2023-32,1,73.46574074074074
DC2023-32,2,71.71111111111111
DC2023-32,3,71.02222222222223
DC2023-32,4,65.85462962962964
DC2023-32,5,61.641666666666666
DC2023-32,6,60.87192404268675
DC2023-32,7,64.21280602636534
DC2023-32,8,67.53425925925927
DC2023-32,9,69.5
DC2023-32,10,74.49259259259259
DC2023-32,11,73.63148148148149
DC2023-32,12,75.90555555555555
DC2023-32,13,78.70555555555556
DC2023-32,14,75.79074074074074
DC2023-32,15,69.44444444444444
DC2023-32,16,65.59537037037038
DC2023-32,17,68.06481481481482
DC2023-32,18,66.86851851851851
DC2023-32,19,70.58148148148149
DC2023-32,20,64.36666666666666
DC2023-32,21,64.00185185185185
DC2023-32,22,62.916666666666664
DC2023-32,23,64.4
DC2023-39,0,61.338596491228074
DC2023-39,1,61.58981481481481
DC2023-39,2,61.87407407407407
DC2023-39,3,64.75833333333334
DC2023-39,4,66.55833333333334
DC2023-39,5,67.55219711236661
DC2023-39,6,67.40925925925926
DC2023-39,7,68.49814814814815
DC2023-39,8,69.68518518518518
DC2023-39,9,71.98333333333333
DC2023-39,10,73.2925925925926
DC2023-39,11,69.58703703703704
DC2023-39,12,67.22222222222223
DC2023-39,13,74.57037037037037
DC2023-39,14,73.04537037037036
DC2023-39,15,73.52962962962962
DC2023-39,16,69.77592592592593
DC2023-39,17,71.03981481481482
DC2023-39,18,72.41574074074074
DC2023-39,19,68.79722222222222
DC2023-39,20,67.55811362209667
